run_id,kernel,problem_size,block_size,sample_index,runtime_ms
run_20260428T154333Z,reduction,1048576,256,21,0.014336
run_20260428T154333Z,reduction,1048576,256,22,0.013312
run_20260428T154333Z,reduction,1048576,256,23,0.014336
run_20260428T154333Z,reduction,1048576,256,24,0.013312
run_20260428T154333Z,reduction,1048576,256,25,0.013312
run_20260428T154333Z,reduction,1048576,256,26,0.014336
run_20260428T154333Z,reduction,1048576,256,27,0.013312
run_20260428T154333Z,reduction,1048576,256,28,0.013312
run_20260428T154333Z,reduction,1048576,256,29,0.014336
run_20260428T154333Z,reduction,4194304,128,0,0.036864
run_20260428T154333Z,reduction,4194304,128,1,0.03584
run_20260428T154333Z,reduction,4194304,128,2,0.03584
run_20260428T154333Z,reduction,4194304,128,3,0.03584
run_20260428T154333Z,reduction,4194304,128,4,0.03584
run_20260428T154333Z,reduction,4194304,128,5,0.03584
run_20260428T154333Z,reduction,4194304,128,6,0.03584
run_20260428T154333Z,reduction,4194304,128,7,0.036864
run_20260428T154333Z,reduction,4194304,128,8,0.036864
run_20260428T154333Z,reduction,4194304,128,9,0.036864
run_20260428T154333Z,reduction,4194304,128,10,0.03584
run_20260428T154333Z,reduction,4194304,128,11,0.03584
run_20260428T154333Z,reduction,4194304,128,12,0.03584
run_20260428T154333Z,reduction,4194304,128,13,0.03584
run_20260428T154333Z,reduction,4194304,128,14,0.03584
run_20260428T154333Z,reduction,4194304,128,15,0.03584
run_20260428T154333Z,reduction,4194304,128,16,0.03584
run_20260428T154333Z,reduction,4194304,128,17,0.03584
run_20260428T154333Z,reduction,4194304,128,18,0.03584
run_20260428T154333Z,reduction,4194304,128,19,0.03584
run_20260428T154333Z,reduction,4194304,128,20,0.03584
run_20260428T154333Z,reduction,4194304,128,21,0.03584
run_20260428T154333Z,reduction,4194304,128,22,0.03584
run_20260428T154333Z,reduction,4194304,128,23,0.034816
run_20260428T154333Z,reduction,4194304,128,24,0.034816
run_20260428T154333Z,reduction,4194304,128,25,0.03584
run_20260428T154333Z,reduction,4194304,128,26,0.03584
run_20260428T154333Z,reduction,4194304,128,27,0.034816
run_20260428T154333Z,reduction,4194304,128,28,0.034816
run_20260428T154333Z,reduction,4194304,128,29,0.034816
run_20260428T154333Z,reduction,4194304,256,0,0.036864
run_20260428T154333Z,reduction,4194304,256,1,0.034816
run_20260428T154333Z,reduction,4194304,256,2,0.03584
run_20260428T154333Z,reduction,4194304,256,3,0.034816
run_20260428T154333Z,reduction,4194304,256,4,0.034816
run_20260428T154333Z,reduction,4194304,256,5,0.03584
run_20260428T154333Z,reduction,4194304,256,6,0.03584
run_20260428T154333Z,reduction,4194304,256,7,0.034816
run_20260428T154333Z,reduction,4194304,256,8,0.03584
run_20260428T154333Z,reduction,4194304,256,9,0.03584
run_20260428T154333Z,reduction,4194304,256,10,0.034816
run_20260428T154333Z,reduction,4194304,256,11,0.034816
run_20260428T154333Z,reduction,4194304,256,12,0.034816
run_20260428T154333Z,reduction,4194304,256,13,0.03584
run_20260428T154333Z,reduction,4194304,256,14,0.034816
run_20260428T154333Z,reduction,4194304,256,15,0.034816
run_20260428T154333Z,reduction,4194304,256,16,0.034816
run_20260428T154333Z,reduction,4194304,256,17,0.034816
run_20260428T154333Z,reduction,4194304,256,18,0.034816
run_20260428T154333Z,reduction,4194304,256,19,0.034816
run_20260428T154333Z,reduction,4194304,256,20,0.034816
run_20260428T154333Z,reduction,4194304,256,21,0.03584
run_20260428T154333Z,reduction,4194304,256,22,0.034816
run_20260428T154333Z,reduction,4194304,256,23,0.034816
run_20260428T154333Z,reduction,4194304,256,24,0.03584
run_20260428T154333Z,reduction,4194304,256,25,0.034816
run_20260428T154333Z,reduction,4194304,256,26,0.034816
run_20260428T154333Z,reduction,4194304,256,27,0.03584
run_20260428T154333Z,reduction,4194304,256,28,0.03584
run_20260428T154333Z,reduction,4194304,256,29,0.034816
run_20260428T154333Z,gemm_naive,256,16,0,0.023552
run_20260428T154333Z,gemm_naive,256,16,1,0.021504
run_20260428T154333Z,gemm_naive,256,16,2,0.021504
run_20260428T154333Z,gemm_naive,256,16,3,0.021504
run_20260428T154333Z,gemm_naive,256,16,4,0.021504
run_20260428T154333Z,gemm_naive,256,16,5,0.022528
run_20260428T154333Z,gemm_naive,256,16,6,0.021504
run_20260428T154333Z,gemm_naive,256,16,7,0.022528
run_20260428T154333Z,gemm_naive,256,16,8,0.021504
run_20260428T154333Z,gemm_naive,256,16,9,0.021504
run_20260428T154333Z,gemm_naive,256,16,10,0.021504
run_20260428T154333Z,gemm_naive,256,16,11,0.021504
run_20260428T154333Z,gemm_naive,256,16,12,0.021504
run_20260428T154333Z,gemm_naive,256,16,13,0.021504
run_20260428T154333Z,gemm_naive,256,16,14,0.021504
run_20260428T154333Z,gemm_naive,512,16,0,0.105472
run_20260428T154333Z,gemm_naive,512,16,1,0.1024
run_20260428T154333Z,gemm_naive,512,16,2,0.103424
run_20260428T154333Z,gemm_naive,512,16,3,0.103424
run_20260428T154333Z,gemm_naive,512,16,4,0.103424
run_20260428T154333Z,gemm_naive,512,16,5,0.103424
run_20260428T154333Z,gemm_naive,512,16,6,0.104448
run_20260428T154333Z,gemm_naive,512,16,7,0.103424
run_20260428T154333Z,gemm_naive,512,16,8,0.104448
run_20260428T154333Z,gemm_naive,512,16,9,0.104448
run_20260428T154333Z,gemm_naive,512,16,10,0.104448
run_20260428T154333Z,gemm_naive,512,16,11,0.103424
run_20260428T154333Z,gemm_naive,512,16,12,0.1024
run_20260428T154333Z,gemm_naive,512,16,13,0.104448
run_20260428T154333Z,gemm_naive,512,16,14,0.1024
run_20260428T154333Z,gemm_tiled,256,16,0,0.019456
run_20260428T154333Z,gemm_tiled,256,16,1,0.017408
run_20260428T154333Z,gemm_tiled,256,16,2,0.018432
run_20260428T154333Z,gemm_tiled,256,16,3,0.017408
run_20260428T154333Z,gemm_tiled,256,16,4,0.017408
run_20260428T154333Z,gemm_tiled,256,16,5,0.017408
run_20260428T154333Z,gemm_tiled,256,16,6,0.017408
run_20260428T154333Z,gemm_tiled,256,16,7,0.018432
run_20260428T154333Z,gemm_tiled,256,16,8,0.017408
run_20260428T154333Z,gemm_tiled,256,16,9,0.017408
run_20260428T154333Z,gemm_tiled,256,16,10,0.018432
run_20260428T154333Z,gemm_tiled,256,16,11,0.017408
run_20260428T154333Z,gemm_tiled,256,16,12,0.017408
run_20260428T154333Z,gemm_tiled,256,16,13,0.017408
run_20260428T154333Z,gemm_tiled,256,16,14,0.018432
run_20260428T154333Z,gemm_tiled,512,16,0,0.070656
